2015,24,Hombres,54,116
2003,30,Hombres,80,369
1990,30,Mujeres,91,147
2012,31,Hombres,64,112
2018,0,Hombres,88,5229
2018,27,Hombres,53,106
1976,30,Mujeres,87,113
1966,0,Hombres,85,997
1978,26,Hombres,1,169
1999,2,Hombres,0,596
1983,19,Hombres,69,115
2007,0,Mujeres,81,5256
1957,0,Mujeres,55,1490
1994,20,Hombres,63,138
2009,11,Mujeres,84,279
2014,16,Mujeres,73,272
2019,30,Hombres,66,626
1986,11,Mujeres,69,127
2002,21,Hombres,70,228
2016,15,Mujeres,62,659
2013,30,Hombres,47,271
1967,0,Hombres,43,1477
2001,9,Hombres,38,191
2015,14,Mujeres,50,156
1970,0,Hombres,81,1583
1963,0,Mujeres,58,1731
2016,30,Mujeres,88,529
1991,8,Hombres,72,111
2019,30,Hombres,39,196
2009,24,Hombres,78,174
1991,9,Hombres,80,338
2018,16,Hombres,66,277
2012,10,Hombres,72,101
2003,0,Mujeres,71,4058
1975,9,Hombres,85,138
1978,15,Hombres,17,136
1975,21,Mujeres,73,153
2018,26,Hombres,68,194
2019,0,Mujeres,94,3823
2004,15,Mujeres,72,436
2012,2,Hombres,62,132
2020,0,Mujeres,71,7222
2008,16,Mujeres,73,215
2014,8,Mujeres,59,105
1977,11,Hombres,67,133
2014,2,Mujeres,85,113
1999,20,Mujeres,67,137
1985,30,Hombres,34,165
2014,19,Hombres,66,269
1984,15,Hombres,48,207
2014,25,Hombres,87,129
2005,8,Mujeres,67,109
2007,16,Hombres,50,115
2014,16,Hombres,93,138
2018,0,Hombres,12,480
1977,0,Hombres,64,2589
2014,13,Hombres,60,140
1989,0,Mujeres,58,1951
1978,15,Hombres,2,389
2016,26,Mujeres,80,160
1971,7,Mujeres,3,198
2015,15,Mujeres,92,465
1995,9,Hombres,51,280
1974,0,Mujeres,42,1038
2013,24,Hombres,57,116
2012,9,Mujeres,80,684
1983,11,Hombres,65,124
1976,0,Mujeres,75,2722
2015,9,Hombres,88,415
2000,28,Hombres,71,130
2015,27,Mujeres,83,109
2002,15,Mujeres,48,181
2019,8,Mujeres,89,142
2015,12,Hombres,66,221
1970,15,Mujeres,78,129
1973,16,Hombres,76,129
2001,14,Hombres,94,108
1976,30,Mujeres,71,218
2012,19,Hombres,51,181
2009,26,Hombres,71,146
1980,16,Hombres,55,102
1952,0,Mujeres,53,1393
2004,0,Hombres,53,2959
2003,0,Hombres,86,3178
1986,30,Mujeres,1,569
2019,19,Mujeres,51,121
2016,7,Hombres,52,174
2003,0,Mujeres,0,19619
1989,8,Hombres,73,109
2014,15,Hombres,47,485
2009,14,Mujeres,86,358
2002,9,Mujeres,78,528
1974,19,Hombres,71,107
2002,11,Hombres,87,143
1992,19,Hombres,71,146
1995,8,Hombres,61,112
1995,25,Hombres,68,115
2020,5,Hombres,90,102
2019,17,Hombres,84,130
2017,13,Mujeres,90,147
2019,19,Hombres,47,192
1993,15,Hombres,58,301
1970,27,Mujeres,0,1597
2006,13,Mujeres,84,120
2015,28,Hombres,85,174
2009,25,Hombres,57,120
2001,15,Hombres,1,254
2003,28,Hombres,77,137
2005,0,Hombres,100,431
1986,9,Mujeres,76,476
1990,15,Mujeres,1,330
2003,12,Hombres,67,136
1984,15,Mujeres,88,149
2018,19,Hombres,46,182
2013,0,Hombres,56,4890
2005,14,Hombres,39,135
2000,11,Hombres,54,116
1977,11,Mujeres,4,110
1978,15,Hombres,46,180
1982,15,Mujeres,74,230
1973,0,Hombres,89,789
2014,25,Mujeres,86,155
1951,0,Mujeres,53,1384
2001,9,Mujeres,70,418
2020,21,Hombres,35,136
1974,12,Hombres,4,131
1993,14,Mujeres,63,177
2018,28,Hombres,77,238
1973,30,Mujeres,66,194
2003,13,Hombres,77,117
1984,11,Hombres,0,2873
1994,24,Hombres,69,101
1997,9,Hombres,65,400
2016,26,Hombres,57,150
1989,0,Mujeres,51,1373
1990,30,Hombres,71,275
2017,13,Hombres,56,140
2018,9,Mujeres,50,211
2005,30,Hombres,65,371
1990,20,Hombres,64,129
2010,0,Mujeres,94,2665
2017,19,Hombres,79,299
2017,14,Hombres,71,506
1985,15,Mujeres,63,194
1975,16,Hombres,76,136
